# timezone: UTC
datetime;open;high;low;close
2026-01-22 06:30:00;4826.49527;4827.55606;4823.4695;4824.6729
2026-01-22 06:45:00;4824.56866;4826.37214;4822.41573;4826.37214
2026-01-22 07:00:00;4826.41753;4834.66092;4825.92396;4832.55779
2026-01-22 07:15:00;4832.39253;4837.92825;4831.0123;4836.54455
2026-01-22 07:30:00;4836.50096;4837.80359;4832.20918;4833.38903
2026-01-22 07:45:00;4833.34387;4835.0925;4831.74187;4833.94215
2026-01-22 08:00:00;4833.58747;4835.74151;4825.57069;4828.18563
2026-01-22 08:15:00;4828.08301;4830.12684;4826.25175;4827.26601
2026-01-22 08:30:00;4827.21191;4828.10462;4822.02558;4828.08271
2026-01-22 08:45:00;4827.86468;4833.32592;4826.77828;4831.28856
2026-01-22 09:00:00;4831.24248;4837.02706;4830.16651;4833.73981
2026-01-22 09:15:00;4833.70113;4833.8174;4829.19849;4829.68753
2026-01-22 09:30:00;4829.77873;4831.26317;4815.16206;4815.38264
2026-01-22 09:45:00;4815.36627;4823.24028;4815.36627;4822.916
2026-01-22 10:00:00;4822.70687;4824.7074;4818.75122;4823.16593
2026-01-22 10:15:00;4823.3349;4827.70728;4822.48017;4827.2057
2026-01-22 10:30:00;4827.23878;4828.703;4824.61866;4827.92981
2026-01-22 10:45:00;4827.96638;4831.18794;4827.89411;4829.00142
2026-01-22 11:00:00;4829.01107;4831.25371;4826.43072;4826.75258
2026-01-22 11:15:00;4826.56121;4829.4163;4824.24577;4828.26255
2026-01-22 11:30:00;4828.2359;4831.37827;4826.45432;4830.92631
2026-01-22 11:45:00;4830.90892;4836.01921;4830.90892;4832.39065
2026-01-22 12:00:00;4832.49187;4832.49187;4823.92657;4825.77662
2026-01-22 12:15:00;4825.73349;4831.90394;4825.48556;4831.4184
2026-01-22 12:30:00;4831.40579;4832.55442;4828.8801;4830.07875
2026-01-22 12:45:00;4829.85197;4830.04329;4818.76347;4820.52423
2026-01-22 13:00:00;4820.75989;4826.69388;4817.34343;4826.69388
2026-01-22 13:15:00;4826.71779;4835.03851;4826.70411;4828.64043
2026-01-22 13:30:00;4828.187;4828.6341;4809.25849;4814.23209
2026-01-22 13:45:00;4814.15789;4821.82421;4812.60799;4821.6242
2026-01-22 14:00:00;4821.32062;4825.13499;4820.33856;4822.63842
2026-01-22 14:15:00;4823.03195;4829.68762;4822.61371;4829.68762
2026-01-22 14:30:00;4829.74388;4845.08318;4829.6497;4843.82298
2026-01-22 14:45:00;4843.5829;4845.48283;4837.66303;4838.76984
2026-01-22 15:00:00;4838.47332;4839.77955;4832.2787;4839.58922
2026-01-22 15:15:00;4839.4311;4855.81521;4837.89322;4854.05468
2026-01-22 15:30:00;4854.07505;4865.13301;4854.07146;4862.99724
2026-01-22 15:45:00;4863.00451;4872.83234;4862.30654;4869.58509
2026-01-22 16:00:00;4870.01339;4875.58;4868.58218;4874.00968
2026-01-22 16:15:00;4873.94409;4879.23256;4872.43467;4878.01977
2026-01-22 16:30:00;4877.72439;4883.75923;4873.69053;4880.93131
2026-01-22 16:45:00;4880.82045;4883.41398;4872.32159;4878.24128
2026-01-22 17:00:00;4878.2069;4883.94759;4869.66302;4880.25223
2026-01-22 17:15:00;4880.36145;4892.46928;4877.30315;4891.10655
2026-01-22 17:30:00;4891.06199;4897.99708;4890.37753;4897.81269
2026-01-22 17:45:00;4897.76718;4905.7844;4897.76718;4904.41121
2026-01-22 18:00:00;4904.25047;4914.43873;4903.0284;4911.31268
2026-01-22 18:15:00;4910.82019;4913.04545;4906.22349;4910.51355
2026-01-22 18:30:00;4910.55278;4914.87403;4908.65402;4912.84073
2026-01-22 18:45:00;4912.87923;4917.59864;4911.51793;4916.51546
2026-01-22 19:00:00;4916.64617;4923.1665;4916.26828;4923.10049
2026-01-22 19:15:00;4923.12057;4923.18891;4910.43156;4912.81253
2026-01-22 19:30:00;4912.16508;4917.81413;4912.16508;4914.80096
2026-01-22 19:45:00;4914.19369;4914.76413;4905.50666;4911.86931
2026-01-22 20:00:00;4911.87195;4923.78043;4911.87195;4923.70123
2026-01-22 20:15:00;4923.49637;4929.18264;4923.49637;4925.76251
2026-01-22 20:30:00;4925.84257;4927.17609;4919.77274;4922.81533
2026-01-22 20:45:00;4922.77356;4924.54475;4915.84659;4915.84659
2026-01-22 21:00:00;4916.18626;4922.74024;4915.04713;4922.74024
2026-01-22 21:15:00;4922.60684;4926.10981;4921.41767;4924.591
2026-01-22 21:30:00;4924.52537;4940.17484;4924.52537;4939.25302
2026-01-22 21:45:00;4939.17275;4940.3299;4935.8551;4936.01347
2026-01-22 22:00:00;4936.03043;4936.80339;4935.98109;4936.57195
2026-01-22 22:15:00;4936.56565;4936.76496;4936.43025;4936.61672
2026-01-22 22:30:00;4936.51932;4936.83676;4936.18561;4936.5778
2026-01-22 22:45:00;4936.49198;4936.71872;4935.20734;4935.32326
2026-01-22 23:00:00;4936.09538;4956.78309;4935.31501;4945.86493
2026-01-22 23:15:00;4946.19566;4946.19566;4939.02051;4939.71535
2026-01-22 23:30:00;4940.24742;4940.24742;4929.35444;4937.90203
2026-01-22 23:45:00;4937.24666;4959.5326;4937.24666;4958.22997
2026-01-23 00:00:00;4958.12665;4962.79735;4952.56824;4952.56824
2026-01-23 00:15:00;4952.68308;4958.36266;4949.63699;4951.56607
2026-01-23 00:30:00;4951.76638;4955.16243;4947.1642;4949.26727
2026-01-23 00:45:00;4949.58433;4964.98556;4949.04821;4964.42046
2026-01-23 01:00:00;4964.07621;4964.38497;4939.62662;4948.80154
2026-01-23 01:15:00;4948.21165;4952.79055;4943.01373;4946.81681
2026-01-23 01:30:00;4946.24377;4955.55079;4946.24377;4952.09099
2026-01-23 01:45:00;4951.80816;4962.69373;4951.80816;4954.01881
2026-01-23 02:00:00;4954.17077;4956.31437;4948.33015;4949.42611
2026-01-23 02:15:00;4949.42153;4954.17278;4947.43333;4951.99623
2026-01-23 02:30:00;4951.50413;4957.69319;4951.50413;4957.21413
2026-01-23 02:45:00;4957.21953;4962.49976;4955.17841;4957.05104
2026-01-23 03:00:00;4956.95741;4960.05695;4953.29684;4954.53547
2026-01-23 03:15:00;4954.55747;4954.71256;4939.35647;4943.4189
2026-01-23 03:30:00;4943.11638;4953.22861;4943.11638;4947.64644
2026-01-23 03:45:00;4947.36904;4953.74164;4947.36904;4952.25927
2026-01-23 04:00:00;4952.23596;4954.16334;4951.33464;4952.06328
2026-01-23 04:15:00;4951.91247;4952.82333;4950.02331;4952.57927
2026-01-23 04:30:00;4952.51016;4958.5105;4952.21496;4956.71699
2026-01-23 04:45:00;4956.60642;4958.44363;4955.63858;4956.59038
2026-01-23 05:00:00;4956.53806;4957.37293;4955.7664;4956.58273
2026-01-23 05:15:00;4956.53239;4959.11123;4956.08941;4957.68444
2026-01-23 05:30:00;4957.80869;4961.43191;4957.16769;4960.64732
2026-01-23 05:45:00;4960.38776;4967.57375;4959.98326;4961.37787
2026-01-23 06:00:00;4961.36651;4962.7817;4947.39771;4950.9676
2026-01-23 06:15:00;4950.52016;4960.69257;4950.52016;4953.79074
2026-01-23 06:30:00;4953.93631;4955.28582;4950.81137;4953.61162
2026-01-23 06:45:00;4953.60489;4956.1002;4950.94815;4955.32642
2026-01-23 07:00:00;4955.42796;4957.49045;4953.17076;4956.1788
2026-01-23 07:15:00;4956.22543;4959.7922;4952.24047;4956.25331
2026-01-23 07:30:00;4956.17237;4957.14884;4946.01126;4948.0405
2026-01-23 07:45:00;4947.69309;4951.18714;4944.17205;4945.19236
2026-01-23 08:00:00;4945.22884;4947.53921;4941.43208;4942.88236
2026-01-23 08:15:00;4943.12133;4943.12133;4904.4714;4910.33197
2026-01-23 08:30:00;4910.20137;4925.97336;4910.20137;4924.9961
2026-01-23 08:45:00;4925.05685;4925.09111;4907.17332;4912.67455
2026-01-23 09:00:00;4912.20095;4918.36798;4911.02135;4912.40805
2026-01-23 09:15:00;4912.38295;4913.75506;4902.39645;4902.39645
2026-01-23 09:30:00;4902.87418;4916.43216;4902.18615;4916.43216
2026-01-23 09:45:00;4916.35946;4920.48341;4914.3006;4918.40719
2026-01-23 10:00:00;4918.30687;4921.90356;4916.40532;4921.4319
2026-01-23 10:15:00;4921.19287;4931.42464;4921.19287;4929.73253
2026-01-23 10:30:00;4929.71249;4929.73403;4925.96899;4926.48081
2026-01-23 10:45:00;4926.39832;4929.82341;4924.72867;4929.3897
2026-01-23 11:00:00;4929.40567;4929.41652;4917.26837;4919.87325
2026-01-23 11:15:00;4920.02638;4921.30714;4913.26109;4921.30714
2026-01-23 11:30:00;4921.19268;4924.734;4920.5151;4924.28164
2026-01-23 11:45:00;4924.09544;4926.06784;4922.69609;4923.05946
2026-01-23 12:00:00;4922.67972;4934.54517;4921.31441;4933.48022
2026-01-23 12:15:00;4933.12852;4936.41188;4931.20323;4933.87571
2026-01-23 12:30:00;4933.72444;4938.04354;4933.72444;4935.16528
2026-01-23 12:45:00;4935.29313;4942.25504;4935.16295;4939.58046
2026-01-23 13:00:00;4940.08507;4947.39807;4934.42076;4939.97575
2026-01-23 13:15:00;4939.84222;4939.97018;4923.30317;4931.34366
2026-01-23 13:30:00;4931.14935;4938.66027;4926.23796;4931.15936
2026-01-23 13:45:00;4930.97658;4939.29507;4930.97658;4938.05618
2026-01-23 14:00:00;4938.3006;4947.58356;4936.63092;4945.55448
2026-01-23 14:15:00;4945.67388;4945.67388;4941.0162;4941.88396
2026-01-23 14:30:00;4941.48637;4948.72771;4934.71151;4947.27345
2026-01-23 14:45:00;4947.4495;4955.81658;4944.66725;4946.78392
2026-01-23 15:00:00;4946.86837;4956.58522;4941.9666;4954.46354
2026-01-23 15:15:00;4954.15375;4954.45002;4944.15781;4945.5451
2026-01-23 15:30:00;4945.08345;4961.31172;4945.08345;4958.1309
2026-01-23 15:45:00;4957.86459;4963.64596;4953.65818;4959.14469
2026-01-23 16:00:00;4959.09924;4975.14258;4958.60674;4970.84143
2026-01-23 16:15:00;4970.86814;4987.30105;4970.59175;4985.46622
2026-01-23 16:30:00;4985.51355;4986.57109;4981.09932;4982.61615
2026-01-23 16:45:00;4982.25248;4982.57881;4977.77124;4980.27606
2026-01-23 17:00:00;4980.14443;4985.74738;4979.82532;4985.06982
2026-01-23 17:15:00;4985.01861;4987.87186;4982.14654;4982.48889
2026-01-23 17:30:00;4982.55299;4987.06558;4982.51511;4985.30309
2026-01-23 17:45:00;4985.51611;4985.57292;4962.43912;4965.6455
2026-01-23 18:00:00;4965.148;4982.38964;4965.148;4981.66827
2026-01-23 18:15:00;4981.55306;4985.73552;4979.05261;4979.05261
2026-01-23 18:30:00;4978.58723;4979.02464;4965.47839;4965.47839
2026-01-23 18:45:00;4965.54912;4968.97492;4959.93646;4966.8541
2026-01-23 19:00:00;4966.98722;4977.3617;4966.85722;4973.77098
2026-01-23 19:15:00;4973.69059;4979.4672;4973.69059;4977.36696
2026-01-23 19:30:00;4977.30525;4979.84942;4975.24087;4978.85339
2026-01-23 19:45:00;4978.74753;4990.21326;4978.74753;4984.67331
2026-01-23 20:00:00;4984.87402;4984.87402;4972.26855;4980.11415
2026-01-23 20:15:00;4980.05527;4985.32057;4979.67108;4981.76097
2026-01-23 20:30:00;4981.37807;4982.47741;4977.98535;4981.9235
2026-01-23 20:45:00;4982.009;4983.13595;4980.47317;4982.94687
2026-01-23 21:00:00;4982.95251;4986.59233;4980.68507;4982.41754
2026-01-23 21:15:00;4982.4517;4982.80887;4979.12178;4981.9467
2026-01-23 21:30:00;4981.97094;4983.51857;4981.09484;4982.41452
2026-01-23 21:45:00;4982.44916;4986.07283;4981.46653;4982.76588
2026-01-23 22:00:00;4982.71669;4982.83594;4982.33706;4982.52592
2026-01-23 22:15:00;4982.41705;4982.63413;4982.34949;4982.48085
2026-01-23 22:30:00;4982.41705;4982.63066;4982.36221;4982.37618
2026-01-23 22:45:00;4982.41101;4982.64173;4982.34033;4982.42692
2026-01-23 23:00:00;4982.4245;4982.61365;4982.33254;4982.49995
2026-01-23 23:15:00;4982.39819;4982.62422;4982.33962;4982.4917
2026-01-23 23:30:00;4982.40964;4982.62124;4982.34704;4982.39692
2026-01-23 23:45:00;4982.41755;4982.6362;4982.34798;4982.40009
2026-01-24 00:00:00;4982.41442;4982.62715;4982.34351;4982.49765
2026-01-24 00:15:00;4982.40863;4982.62612;4982.34474;4982.50525
2026-01-24 00:30:00;4982.40974;4982.6316;4982.35328;4982.40663
2026-01-24 00:45:00;4982.41255;4982.62628;4982.34453;4982.39047
2026-01-24 01:00:00;4982.41685;4982.6315;4982.34792;4982.48645
2026-01-24 01:15:00;4982.41413;4982.63341;4982.34842;4982.52292
2026-01-24 01:30:00;4982.41731;4982.62714;4982.34966;4982.41974
2026-01-24 01:45:00;4982.40794;4982.6316;4982.34708;4982.38257
2026-01-24 02:00:00;4982.41705;4982.6337;4982.35331;4982.46787
2026-01-24 02:15:00;4982.4142;4982.62901;4982.34353;4982.52593
2026-01-24 02:30:00;4982.41457;4982.62348;4982.34508;4982.4412
2026-01-24 02:45:00;4982.40992;4982.63423;4982.33976;4982.38217
2026-01-24 03:00:00;4982.41913;4982.62864;4982.347;4982.45066
2026-01-24 03:15:00;4982.41732;4982.62878;4982.34555;4982.52612
2026-01-24 03:30:00;4982.415;4982.63228;4982.35332;4982.46589
2026-01-24 03:45:00;4982.41478;4982.63092;4982.34494;4982.37716
2026-01-24 04:00:00;4982.41116;4982.6267;4982.3433;4982.42574
2026-01-24 04:15:00;4982.41194;4982.62366;4982.34702;4982.51598
2026-01-24 04:30:00;4982.41057;4982.62619;4982.34077;4982.47985
2026-01-24 04:45:00;4982.40977;4982.62972;4982.34599;4982.38715
2026-01-24 05:00:00;4982.41358;4982.62603;4982.3422;4982.40566
2026-01-24 05:15:00;4982.40959;4982.62917;4982.35322;4982.51135
2026-01-24 05:30:00;4982.41506;4982.62879;4982.34453;4982.49863
2026-01-24 05:45:00;4982.41204;4982.62907;4982.34794;4982.39865
2026-01-24 06:00:00;4982.41457;4982.63095;4982.3474;4982.39339
2026-01-24 06:15:00;4982.4122;4982.62463;4982.34717;4982.49461
2026-01-24 06:30:00;4982.41256;4982.63154;4982.34824;4982.51156
